iteration,train_loss,val_loss,clustering_loss,val_clustering_loss,reconstruction_loss,val_reconstruction_loss
38,0.0011401594383642077,0.0011598147684708238,7.432604616042227e-05,7.169367745518684e-05,0.0011394161265343428,0.0011590978829190135
39,0.0011106038000434637,0.0011111691128462553,8.838014036882669e-05,6.136638694442809e-05,0.0011097199749201536,0.0011105554876849055
40,0.0010575694032013416,0.0010979952057823539,8.43553789309226e-05,7.102017116267234e-05,0.0010567258577793837,0.0010972849559038877
41,0.001309976214542985,0.001083787064999342,7.962860399857163e-05,7.117210770957172e-05,0.0013091799337416887,0.001083075301721692
42,0.0011958192335441709,0.0011108415201306343,7.417075539706275e-05,9.894044342217967e-05,0.0011950775515288115,0.0011098521063104272
43,0.0011252412805333734,0.0012607165845111012,0.00010229929466731846,8.350465213879943e-05,0.00112421833910048,0.0012598815374076366
44,0.0012087839422747493,0.0011288067325949669,6.566420779563487e-05,5.895628419239074e-05,0.0012081272434443235,0.0011282172054052353
45,0.0010961537482216954,0.001075240084901452,8.079253893811256e-05,7.142660615500063e-05,0.0010953458258882165,0.0010745258769020438
46,0.0011992099462077022,0.0010810872772708535,6.075871715438552e-05,6.640511855948716e-05,0.0011986023746430874,0.0010804232442751527
47,0.0011402568779885769,0.001108360243961215,8.057703962549567e-05,5.840595258632675e-05,0.0011394510511308908,0.0011077761882916093
48,0.0011363273952156305,0.001142345485277474,0.00010528068378334865,8.166994666680694e-05,0.0011352745350450277,0.001141528831794858
49,0.0010995556367561221,0.0012146832887083292,6.747350562363863e-05,5.4089447075966746e-05,0.0010988808935508132,0.0012141424231231213
50,0.0010875402949750423,0.0010333851678296924,7.084703975124285e-05,8.242861076723784e-05,0.0010868317913264036,0.0010325608309358358
51,0.0011245416244491935,0.001198930200189352,8.953193901106715e-05,4.60099327028729e-05,0.0011236462742090225,0.001198470126837492
52,0.0010947601404041052,0.0011320083867758512,7.226623711176217e-05,7.136551721487194e-05,0.0010940374340862036,0.0011312947608530521
53,0.001105457078665495,0.0011971961939707398,8.575187530368567e-05,8.054511999944225e-05,0.0011045995634049177,0.0011963907163590193
54,0.001109602046199143,0.0011031747562810779,8.103916479740292e-05,4.7951649321476e-05,0.0011087916791439056,0.0011026952415704727
55,0.0012647559633478522,0.0011857145000249147,6.927981303306296e-05,5.858189251739532e-05,0.0012640631757676601,0.0011851286981254816
56,0.0011986029567196965,0.001290191081352532,7.089383143465966e-05,7.124435069272295e-05,0.0011978939874097705,0.001289478619582951
57,0.0012192934518679976,0.001052585314027965,8.257414447143674e-05,6.157527968753129e-05,0.0012184677179902792,0.0010519695933908224
58,0.001018606941215694,0.0010985599365085363,8.742185309529305e-05,6.543699419125915e-05,0.0010177327785640955,0.0010979055659845471
59,0.0010719109559431672,0.0011428736615926027,0.00010851018305402249,6.299320375546813e-05,0.0010708258487284184,0.0011422437382861972
