iteration,train_loss,val_loss,clustering_loss,val_clustering_loss,reconstruction_loss,val_reconstruction_loss,train_acc,val_acc,train_nmi,val_nmi,train_ari,val_ari
61,0.015482447110116482,0.012804748490452766,0.00016899089678190649,0.00014098515384830534,0.01531345583498478,0.012663763016462326,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
62,0.013804061338305473,0.013112084940075874,0.0001305342884734273,0.00013468507677316666,0.013673527166247368,0.012977399863302708,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
63,0.013252523727715015,0.013820813968777657,0.0002047558082267642,0.00015685922699049115,0.01304776780307293,0.01366395503282547,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
64,0.014301920309662819,0.013742075301706791,0.00015831789642106742,0.00015154351422097534,0.01414360199123621,0.013590531423687935,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
65,0.013512533158063889,0.012432386167347431,0.00017519330140203238,0.00011623550381045789,0.013337340205907822,0.012316150590777397,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
66,0.013238562270998955,0.012580009177327156,0.00018559573800303042,0.00014695886056870222,0.013052966445684433,0.012433050200343132,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
67,0.012579920701682568,0.011913919821381569,0.00020396846230141819,0.00014536449452862144,0.012375952675938606,0.011768555268645287,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
68,0.012643873691558838,0.012215747497975826,0.00014182296581566334,0.00016858711023814976,0.012502050958573818,0.012047160416841507,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
69,0.013118312694132328,0.01259187888354063,0.00011778695625253022,0.00014041193935554475,0.013000525534152985,0.012451467104256153,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
70,0.014169781468808651,0.013126800768077374,0.00019704501028172672,0.00015901713049970567,0.013972736895084381,0.012967783957719803,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
71,0.011764255352318287,0.012933047488331795,0.00015417751274071634,0.0001315478584729135,0.011610077694058418,0.012801500037312508,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
72,0.010571214370429516,0.011624624021351337,0.00017092999769374728,0.00015607010573148727,0.010400284081697464,0.01146855391561985,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
73,0.011936277151107788,0.011674659326672554,0.00013703113654628396,0.00015319648082368076,0.011799246072769165,0.01152146328240633,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
74,0.012754479423165321,0.011536473408341408,0.00015047547640278935,0.00015874538803473115,0.01260400377213955,0.01137772761285305,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
75,0.012894123792648315,0.010757073760032654,0.00011320826160954311,0.00016009295359253883,0.012780915945768356,0.010596981272101402,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
76,0.01107338722795248,0.010818252339959145,0.00015358548262156546,0.00015553351840935647,0.010919801890850067,0.010662718676030636,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
77,0.011433154344558716,0.011755832470953465,0.00015803224232513458,0.00013372526154853404,0.011275121942162514,0.011622107587754726,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
78,0.011449217796325684,0.011849535629153252,0.00016108607815112919,0.00012120130122639239,0.011288131587207317,0.011728334240615368,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
79,0.013400902971625328,0.01013917475938797,0.00018364093557465822,0.0001634530781302601,0.013217261992394924,0.009975722059607506,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
80,0.011830322444438934,0.01159391924738884,0.00018186276429332793,0.00013805014896206558,0.011648459360003471,0.011455869302153587,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
81,0.011697602458298206,0.01032419316470623,0.00015950374654494226,0.00016279051487799734,0.011538098566234112,0.010161402635276318,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
82,0.011798606254160404,0.009869841858744621,0.0001512434973847121,0.00013491700519807637,0.011647363193333149,0.009734924882650375,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
83,0.012458988465368748,0.011408580467104912,0.00017191223741974682,0.00013092858716845512,0.012287076562643051,0.01127765141427517,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
84,0.011805969290435314,0.010216394439339638,0.0001399042666889727,0.00017356171156279743,0.011666065081954002,0.010042833164334297,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
85,0.01075682882219553,0.012075606733560562,0.00018773225019685924,0.0001376835280098021,0.01056909654289484,0.011937922798097134,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
86,0.011560569517314434,0.010018782690167427,0.0001413452555425465,0.0001741742016747594,0.011419224552810192,0.00984460860490799,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
87,0.011363709345459938,0.010503399185836315,0.00014832810848020017,0.00014782423386350274,0.01121538132429123,0.010355575010180473,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
88,0.01135717798024416,0.01003885269165039,0.00015656070900149643,0.0001666235621087253,0.01120061706751585,0.00987222883850336,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
89,0.012327242642641068,0.009843560867011547,0.00013548241986427456,0.0001430483243893832,0.01219176035374403,0.009700512513518333,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
90,0.009875090792775154,0.01032398920506239,0.00013953071902506053,0.00014133076183497906,0.009735560044646263,0.010182658210396767,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
91,0.01179901696741581,0.010329597629606724,0.00014772343274671584,0.00014966634626034647,0.011651293374598026,0.010179931297898293,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
92,0.012347230687737465,0.010010957717895508,0.00016582179523538798,0.0001619623217266053,0.012181408703327179,0.009848995134234428,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
93,0.012292432598769665,0.010800176300108433,0.00016979692736640573,0.00017169772763736546,0.01212263572961092,0.010628478601574898,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
94,0.011055384762585163,0.009822492487728596,0.00020939712703693658,0.0001645938027650118,0.010845988057553768,0.009657898917794228,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
95,0.011075695045292377,0.010898202657699585,0.0001583299454068765,0.00015902133600320667,0.010917365550994873,0.010739181190729141,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
96,0.009675939567387104,0.009633946232497692,0.00018118045409210026,0.0001601563999429345,0.009494759142398834,0.009473789483308792,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
97,0.010546610690653324,0.010840033181011677,0.00018235230527352542,0.0001545076083857566,0.010364258661866188,0.010685525834560394,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
98,0.011513269506394863,0.008994094096124172,0.00014017574721947312,0.00015295619959942997,0.011373093351721764,0.008841138333082199,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
99,0.009917831979691982,0.009850921109318733,0.0001904765231302008,0.0001311099622398615,0.0097273550927639,0.009719811379909515,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
100,0.010882822796702385,0.010215413756668568,4.5937813411001116e-05,7.372741674771532e-05,0.010836885310709476,0.010141686536371708,0.3595,0.37791,0.0,0.0,0.0,0.0
101,0.01080242171883583,0.010001689195632935,5.447284638648853e-05,6.227376434253529e-05,0.010747948661446571,0.009939415380358696,0.3595,0.37791,0.0,0.0,0.0,0.0
102,0.009794770739972591,0.010746133513748646,5.041736221755855e-05,6.334403587970883e-05,0.009744353592395782,0.010682789608836174,0.3595,0.37791,0.0,0.0,0.0,0.0
103,0.009713791310787201,0.010863236151635647,6.250262958928943e-05,6.015474718878977e-05,0.009651288390159607,0.010803081095218658,0.3595,0.37791,0.0,0.0,0.0,0.0
104,0.009185555391013622,0.00889955461025238,5.564641469391063e-05,7.57755697122775e-05,0.009129908867180347,0.008823779411613941,0.3595,0.37791,0.0,0.0,0.0,0.0
105,0.00911954790353775,0.009132876060903072,3.4972417779499665e-05,6.798476533731446e-05,0.009084575809538364,0.009064891375601292,0.3595,0.37791,0.0,0.0,0.0,0.0
106,0.008731679059565067,0.008159604854881763,6.724199920427054e-05,6.275800842558965e-05,0.008664436638355255,0.008096846751868725,0.3595,0.37791,0.0,0.0,0.0,0.0
107,0.009243709966540337,0.008898952044546604,5.188420254853554e-05,7.417130109388381e-05,0.009191825985908508,0.008824780583381653,0.3595,0.37791,0.0,0.0,0.0,0.0
108,0.009320017881691456,0.008303520269691944,4.795222412212752e-05,6.637818296439946e-05,0.009272065944969654,0.008237142115831375,0.3595,0.37791,0.0,0.0,0.0,0.0
109,0.00865602120757103,0.008746407926082611,7.085848483256996e-05,6.874949031043798e-05,0.008585162460803986,0.008677658624947071,0.3595,0.37791,0.0,0.0,0.0,0.0
